ID_HARGA;KODE_JASA;CAKUPAN;VIA;TIPE;HARGA INDAH ONLINE;HARGA PKS;ASAL;TUJUAN;WILAYAH;UPDATE;JENIS;VARIAN;LEAD_TIME;KODE_NEGARA;SIMBOL;NILAI_TUKAR;DISKON;
1;1;;DARAT;BL;8333;6500;KUDUS;BENGKULU;"Kec.Talo, Kab. Seluma (tdk bisa smpe alamat); kec. Selebar, kota bengkulu;";09/11/2022;BERAT;>10;6-7;ID;Rp;1;21,996879875195%;
1;1;;DARAT;BL;11716;8500;KUDUS;BERASTAGI;;;BERAT;>10;4-5;ID;Rp;1;27,449641515876%;
1;1;;LAUT;BL;12100;10500;KUDUS;BERAU;;;BERAT;>10;7-9;ID;Rp;1;13,223140495868%;
1;1;;DARAT;BL;19976;19976;KUDUS;BIAK;;;BERAT;>10;30;ID;Rp;1;0,000000000000%;
1;1;;DARAT;BL;10908;4815;KUDUS;BIMA;"Kec. Belo Kab. Bima, kota bima; Kec. Rasanae Barat; Kec. Woha";02/03/2023;BERAT;>10;7-10 hari;ID;Rp;1;55,858085808581%;
1;1;;DARAT;BL;11292;8500;KUDUS;BINJAI;;;BERAT;>10;4-5;ID;Rp;1;24,725469358838%;
1;1;;DARAT;BL;14140;12000;KUDUS;BINTAN;;;BERAT;>10;17-18;ID;Rp;1;15,134370579915%;
1;1;;DARAT;BL;11716;8500;KUDUS;BIREUEN;Kec. Kota Juang;5/8/2022;BERAT;>10;6-7;ID;Rp;1;27,449641515876%;
1;1;;LAUT;BL;14140;10000;KUDUS;BITUNG;kec.matuari bitung, kec. Girian ;11-Nov;BERAT;>10;15-16;ID;Rp;1;29,278642149929%;
1;1;;DARAT;BL;10908;7500;KUDUS;BLAMBANGAN EMPU;;;BERAT;>10;5-6;ID;Rp;1;31,243124312431%;
1;1;;DARAT;BL;14544;11000;KUDUS;BLANG KEJEREN;;;BERAT;>10;6-7;ID;Rp;1;24,367436743674%;
1;1;;DARAT;BL;12524;10000;KUDUS;BLANGPIDIE;Kec. Babahrot Kab. Aceh Barat Daya;20/12/2022;BERAT;>10;6-7;ID;Rp;1;20,153305653146%;
1;1;;DARAT;BL;2828;2000;KUDUS;BLITAR;;;BERAT;>10;3-4;ID;Rp;1;29,278642149929%;
1;1;;DARAT;BL;3636;2000;KUDUS;BLORA;;;BERAT;>10;3-4;ID;Rp;1;44,994499449945%;
1;1;;DARAT;BL;14140;10000;KUDUS;BOALEMO;;;BERAT;>10;12-14;ID;Rp;1;29,278642149929%;
1;1;;DARAT;BL;5333;3000;KUDUS;BOGOR;;;BERAT;>10;4-5;ID;Rp;1;43,746484155260%;
1;1;;DARAT;BL;3232;2000;KUDUS;BOJONEGORO;"Kec. Kapas; Kec. Bojonegoro";18/07/2022;BERAT;>10;3-4;ID;Rp;1;38,118811881188%;
1;1;;DARAT;BL;4424;2000;KUDUS;BOJONG PEKALONGAN;;;BERAT;>10;2-3;ID;Rp;1;54,792043399638%;
1;1;;DARAT;BL;3636;2000;KUDUS;BONDOWOSO;;;BERAT;>10;3-4;ID;Rp;1;44,994499449945%;
1;1;;LAUT;BL;10908;7000;KUDUS;BONE;;;BERAT;>10;9-11;ID;Rp;1;35,826916024936%;
1;1;;LAUT;BL;14140;10000;KUDUS;BONE BOLANGO;;;BERAT;>10;12-14;ID;Rp;1;29,278642149929%;
1;1;;DARAT;BL;11312;7000;KUDUS;BONTANG;"kec. Bontang utara; bontang barat; kec. Bontang selatan";03/11/2022;BERAT;>10;7-9;ID;Rp;1;38,118811881188%;
1;1;;DARAT;BL;3232;2500;KUDUS;BOROBUDUR;;;BERAT;>10;2-3;ID;Rp;1;22,648514851485%;
1;1;;DARAT;BL;3232;2000;KUDUS;BOYOLALI;;;BERAT;>10;2-3;ID;Rp;1;38,118811881188%;
1;1;;DARAT;BL;3636;2000;KUDUS;BREBES;;;BERAT;>10;2-3;ID;Rp;1;44,994499449945%;
1;1;;DARAT;BL;5232;2000;KUDUS;BRONDONG / LMG;;;BERAT;>10;3-4;ID;Rp;1;61,773700305810%;
1;1;;DARAT;BL;6333;3000;KUDUS;BSD TANGERANG;;;BERAT;>10;4-5;ID;Rp;1;52,629085741355%;
1;1;;DARAT;BL;10484;7000;KUDUS;Bukittinggi;;;BERAT;>10;6-7;ID;Rp;1;33,231590995803%;
1;1;;DARAT;BL;25452;25452;KUDUS;BULA;;;BERAT;>10;30;ID;Rp;1;0,000000000000%;
1;1;;DARAT;BL;6846;3000;KUDUS;BULELENG;;;BERAT;>10;3-4;ID;Rp;1;56,178790534619%;
1;1;;LAUT;BL;10908;7000;KUDUS;BULUKUMBA;;;BERAT;>10;9-11;ID;Rp;1;35,826916024936%;
1;1;;DARAT;BL;4848;2000;KUDUS;BUMIAYU;;;BERAT;>10;2-3;ID;Rp;1;58,745874587459%;
1;1;;LAUT;BL;14948;9500;KUDUS;BUNTOK;Kec. Dusun Selatan Kab. Barito Selatan (ambil dikantor Buntok);09/01/2023;BERAT;>10;7-8;ID;Rp;1;36,446347337436%;
1;1;;LAUT;BL;9292;8000;KUDUS;BUOL;Kec. Biau;30/01/2023;BERAT;>10;12-14;ID;Rp;1;13,904433921653%;
1;1;;LAUT;BL;17372;11000;KUDUS;BUTON;;;BERAT;>10;12-14;ID;Rp;1;36,679714483076%;
1;1;;DARAT;BL;12524;10000;KUDUS;CALANG;;;BERAT;>10;6-7;ID;Rp;1;20,153305653146%;
1;1;;DARAT;BL;3636;2000;KUDUS;CARUBAN;;;BERAT;>10;3-4;ID;Rp;1;44,994499449945%;
1;1;;DARAT;BL;6040;2500;KUDUS;CENGKARENG;;;BERAT;>10;3-4;ID;Rp;2;58,609271523179%;
1;1;;DARAT;BL;3636;2000;KUDUS;CEPU;;;BERAT;>10;3-4;ID;Rp;1;44,994499449945%;
1;1;;DARAT;BL;3636;2000;KUDUS;CIAMIS;;;BERAT;>10;2-3;ID;Rp;1;44,994499449945%;
1;1;;DARAT;BL;5333;2500;KUDUS;CIANJUR;;;BERAT;>10;4-5;ID;Rp;1;53,122070129383%;
1;1;;DARAT;BL;3636;2500;KUDUS;CIASEM;;;BERAT;>10;2-3;ID;Rp;1;31,243124312431%;
1;1;;DARAT;BL;5333;2500;KUDUS;CIAWI;;;BERAT;>10;4-5;ID;Rp;1;53,122070129383%;
1;1;;DARAT;BL;5333;3000;KUDUS;CIBARUSAH;;;BERAT;>10;4-5;ID;Rp;1;43,746484155260%;
1;1;;DARAT;BL;5333;3000;KUDUS;CIBINONG;;;BERAT;>10;4-5;ID;Rp;1;43,746484155260%;
1;1;;DARAT;BL;5333;2500;KUDUS;CIBITUNG;;;BERAT;>10;4-5;ID;Rp;1;53,122070129383%;
1;1;;DARAT;BL;5333;2500;KUDUS;CIKAMPEK;;;BERAT;>10;4-5;ID;Rp;1;53,122070129383%;
1;1;;DARAT;BL;5333;2500;KUDUS;CIKARANG;;;BERAT;>10;4-5;ID;Rp;1;53,122070129383%;
1;1;;DARAT;BL;5585;3000;KUDUS;CIKOKOL;;;BERAT;>10;4-5;ID;Rp;1;46,284691136974%;
1;1;;DARAT;BL;6293;3000;KUDUS;CIKUPA;;;BERAT;>10;4-5;ID;Rp;1;52,327983473701%;
1;1;;DARAT;BL;4848;2500;KUDUS;CILACAP;;;BERAT;>10;2-3;ID;Rp;1;48,432343234323%;
1;1;;DARAT;BL;6293;3000;KUDUS;CILEDUG;;;BERAT;>10;4-5;ID;Rp;1;52,327983473701%;
1;1;;DARAT;BL;6293;3000;KUDUS;CILEGON;;;BERAT;>10;4-5;ID;Rp;1;52,327983473701%;
1;1;;DARAT;BL;5333;2500;KUDUS;CILENGSI;;;BERAT;>10;4-5;ID;Rp;1;53,122070129383%;
1;1;;DARAT;BL;3636;2500;KUDUS;CILEUNYI;;;BERAT;>10;2-3;ID;Rp;1;31,243124312431%;
1;1;;DARAT;BL;3636;2500;KUDUS;CIMAHI;;;BERAT;>10;2-3;ID;Rp;1;31,243124312431%;
1;1;;DARAT;BL;5333;3000;KUDUS;CIOMAS;;;BERAT;>10;4-5;ID;Rp;1;43,746484155260%;
1;1;;DARAT;BL;5333;3000;KUDUS;CIPUTAT ;;;BERAT;>10;4-5;ID;Rp;1;43,746484155260%;
1;1;;DARAT;BL;3636;2500;KUDUS;CIREBON;;;BERAT;>10;2-3;ID;Rp;1;31,243124312431%;
1;1;;DARAT;BL;6293;3500;KUDUS;CIRUAS;;;BERAT;>10;4-5;ID;Rp;1;44,382647385984%;
1;1;;DARAT;BL;5333;3000;KUDUS;CISARUA ;;;BERAT;>10;4-5;ID;Rp;1;43,746484155260%;
1;1;;DARAT;BL;5333;3000;KUDUS;CITEUREUP ;;;BERAT;>10;4-5;ID;Rp;1;43,746484155260%;
1;1;;DARAT;BL;5252;2000;KUDUS;COMAL;;;BERAT;>10;2-3;ID;Rp;1;61,919268849962%;
1;1;;DARAT;BL;9292;7500;KUDUS;CURUP;;;BERAT;>10;6-7;ID;Rp;1;19,285406801550%;
1;1;;DARAT;BL;22220;20000;KUDUS;DABO SINGKEP;;;BERAT;>10;17-18;ID;Rp;1;9,990999099910%;
1;1;;DARAT;BL;9292;7000;KUDUS;DAMASRAYA;;;BERAT;>10;6-7;ID;Rp;1;24,666379681446%;
1;1;;DARAT;BL;11292;8500;KUDUS;DELI SERDANG;;;BERAT;>10;4-5;ID;Rp;1;24,725469358838%;
1;1;;DARAT;BL;2828;1500;KUDUS;DEMAK;;;BERAT;>10;2-3;ID;Rp;1;46,958981612447%;
1;1;;DARAT;BL;6846;3000;KUDUS;DENPASAR;;;BERAT;>10;3-4;ID;Rp;1;56,178790534619%;
1;1;;DARAT;BL;5333;2500;KUDUS;DEPOK;;;BERAT;>10;2-3;ID;Rp;1;53,122070129383%;
1;1;;DARAT;BL;13332;8500;KUDUS;DOLOK SANGGUL;;;BERAT;>10;4-5;ID;Rp;1;36,243624362436%;
1;1;;DARAT;BL;10908;8000;KUDUS;DOMPU;Kec. Dompu;11/01/2023;BERAT;>10;5-6;ID;Rp;1;26,659332599927%;
1;1;;LAUT;BL;9292;8000;KUDUS;DONGGALA;;;BERAT;>10;12-14;ID;Rp;1;13,904433921653%;
1;1;;DARAT;BL;5333;3000;KUDUS;DRAMAGA;;;BERAT;>10;4-5;ID;Rp;1;43,746484155260%;
1;1;;DARAT;BL;10080;7000;KUDUS;DUMAI;"kec. Dumai timur, kota dumai;";26/11/2022;BERAT;>10;3-4;ID;Rp;1;30,555555555556%;
1;1;;DARAT;BL;9696;7000;KUDUS;DURI;;;BERAT;>10;3-4;ID;Rp;1;27,805280528053%;
1;1;;DARAT;BL;25048;25048;KUDUS;ENDE;Kec.Ende Utara Kab.Ende (min.100 kg);27/7/2022;BERAT;>10;30;ID;Rp;1;0,000000000000%;
1;1;;LAUT;BL;10908;7000;KUDUS;ENREKANG;kec. Enrekang, kab. Enrekang;07/12/2022;BERAT;>10;9-11;ID;Rp;1;35,826916024936%;
1;1;;LAUT;BL;18988;14000;KUDUS;ENTIKONG;;;BERAT;>10;7-8;ID;Rp;1;26,269222666948%;
1;1;;LAUT;BL;21412;21412;KUDUS;ERISERI;;;BERAT;>10;30;ID;Rp;1;0,000000000000%;
1;1;;LAUT;BL;19796;19796;KUDUS;FAK-FAK;;;BERAT;>10;30;ID;Rp;1;0,000000000000%;
1;1;;DARAT;BL;3636;2500;KUDUS;GARUT;;;BERAT;>10;2-3;ID;Rp;1;31,243124312431%;
1;1;;DARAT;BL;9292;7500;KUDUS;GEDONG TATAAN;Kec. Gedong Tataan Kab. Pesawaran;24/12/2022;BERAT;>10;5-6;ID;Rp;1;19,285406801550%;
1;1;;DARAT;BL;4040;2000;KUDUS;GEMPOL;;;BERAT;>10;3-4;ID;Rp;1;50,495049504951%;
1;1;;DARAT;BL;3232;2000;KUDUS;GENTENG;Kec. Siliragung Kab. Banyuwangi;24/12/2022;BERAT;>10;3-4;ID;Rp;1;38,118811881188%;
1;1;;DARAT;BL;6846;3000;KUDUS;GIANYAR;;;BERAT;>10;3-4;ID;Rp;1;56,178790534619%;
1;1;;DARAT;BL;8484;3000;KUDUS; GILIMANUK ;;;BERAT;>10;3-4;ID;Rp;1;64,639321074965%;
1;1;;DARAT;BL;4040;2000;KUDUS;GLENMORE;;;BERAT;>10;3-4;ID;Rp;1;50,495049504951%;
1;1;;DARAT;BL;3636;2500;KUDUS;GOMBONG;;;BERAT;>10;2-3;ID;Rp;1;31,243124312431%;
